Date,Close
6/11/2019,28.24
6/12/2019,27.950001
6/13/2019,27.940001
6/14/2019,28.040001
6/17/2019,27.93
6/18/2019,28.620001
6/19/2019,28.32
6/20/2019,28.27
6/21/2019,28.120001
6/24/2019,27.98
6/25/2019,27.76
6/26/2019,27.91
6/27/2019,28.209999
6/28/2019,29
7/1/2019,29.42
7/2/2019,29.15
7/3/2019,29.049999
7/5/2019,29.26
7/8/2019,29.200001
7/9/2019,29.35
7/10/2019,29.02
7/11/2019,29.360001
7/12/2019,29.450001
7/15/2019,29.219999
7/16/2019,28.99
7/17/2019,29.190001
7/18/2019,29.48
7/19/2019,29.4
7/22/2019,29.57
7/23/2019,30.25
7/24/2019,30.67
7/25/2019,30.34
7/26/2019,30.77
7/29/2019,30.52
7/30/2019,30.889999
7/31/2019,30.68
8/1/2019,29.49
8/2/2019,29.379999
8/5/2019,28.08
8/6/2019,28.42
8/7/2019,27.889999
8/8/2019,28.379999
8/9/2019,28.33
8/12/2019,27.639999
8/13/2019,27.719999
8/14/2019,26.42
8/15/2019,26.25
8/16/2019,27.030001
8/19/2019,27.27
8/20/2019,26.719999
8/21/2019,26.93
8/22/2019,27.190001
8/23/2019,26.469999
8/26/2019,26.780001
8/27/2019,26.469999
8/28/2019,26.85
8/29/2019,27.33
8/30/2019,27.51
9/3/2019,27.049999
9/4/2019,27.49
9/5/2019,28.120001
9/6/2019,27.73
9/9/2019,28.629999
9/10/2019,29.35
9/11/2019,29.459999
9/12/2019,29.67
9/13/2019,30.17
9/16/2019,30.129999
9/17/2019,29.940001
9/18/2019,30
9/19/2019,29.82
9/20/2019,29.59
9/23/2019,29.52
9/24/2019,28.940001
9/25/2019,29.25
9/26/2019,29.129999
9/27/2019,29.35
9/30/2019,29.17
10/1/2019,28.440001
10/2/2019,27.84
10/3/2019,27.809999
10/4/2019,28.370001
10/7/2019,28.309999
10/8/2019,27.629999
10/9/2019,27.889999
10/10/2019,28.450001
10/11/2019,28.91
10/14/2019,29.139999
10/15/2019,29.73
10/16/2019,30.17
10/17/2019,30.26
10/18/2019,30.35
10/21/2019,31.02
10/22/2019,31.200001
10/23/2019,31.42
10/24/2019,31.360001
10/25/2019,31.719999
10/28/2019,31.84
10/29/2019,32.07
10/30/2019,31.620001
10/31/2019,31.27
11/1/2019,31.799999
11/4/2019,32.400002
11/5/2019,32.82
11/6/2019,32.790001
11/7/2019,33.23
11/8/2019,33.259998
11/11/2019,33.18
11/12/2019,33.09
11/13/2019,32.790001
11/14/2019,32.700001
11/15/2019,32.93
11/18/2019,32.959999
11/19/2019,32.939999
11/20/2019,32.689999
11/21/2019,32.84
11/22/2019,33.18
11/25/2019,33.470001
11/26/2019,33.349998
11/27/2019,33.419998
11/29/2019,33.32
12/2/2019,33.43
12/3/2019,32.84
12/4/2019,33.150002
12/5/2019,33.09
12/6/2019,33.669998
12/9/2019,33.509998
12/10/2019,33.529999
12/11/2019,33.639999
12/12/2019,34.68
12/13/2019,34.439999
12/16/2019,34.700001
12/17/2019,35.040001
12/18/2019,35.110001
12/19/2019,34.950001
12/20/2019,34.959999
12/23/2019,35.169998
12/24/2019,35.220001
12/26/2019,35.52
12/27/2019,35.349998
12/30/2019,35.150002
12/31/2019,35.220001
1/2/2020,35.639999
1/3/2020,34.900002
1/6/2020,34.849998
1/7/2020,34.619999
1/8/2020,34.970001
1/9/2020,35.029999
1/10/2020,34.740002
1/13/2020,35.060001
1/14/2020,35.32
1/15/2020,34.669998
1/16/2020,34.720001
1/17/2020,34.709999
1/21/2020,34.259998
1/22/2020,34.360001
1/23/2020,34.119999
1/24/2020,33.540001
1/27/2020,32.849998
1/28/2020,33.240002
1/29/2020,33.009998
1/30/2020,33.48
1/31/2020,32.830002
2/3/2020,32.970001
2/4/2020,33.619999
2/5/2020,34.709999
2/6/2020,34.669998
2/7/2020,34.610001
2/10/2020,34.689999
2/11/2020,34.77
2/12/2020,34.919998
2/13/2020,34.91
2/14/2020,34.849998
2/18/2020,34.27
2/19/2020,34.720001
2/20/2020,34.849998
2/21/2020,34.360001
2/24/2020,32.73
2/25/2020,31.08
2/26/2020,30.629999
2/27/2020,29.129999
2/28/2020,28.5
3/2/2020,29.370001
3/3/2020,27.75
3/4/2020,28.389999
3/5/2020,26.780001
3/6/2020,25.709999
3/9/2020,21.93
3/10/2020,23.610001
3/11/2020,22.67
3/12/2020,20.51
3/13/2020,24.16
3/16/2020,20.440001
3/17/2020,21.98
3/18/2020,20.790001
3/19/2020,21.200001
3/20/2020,19.67
3/23/2020,18.08
3/24/2020,21.030001
3/25/2020,21.1
3/26/2020,22.719999
3/27/2020,21.6
3/30/2020,22.040001
3/31/2020,21.23
4/1/2020,19.77
4/2/2020,20.57
4/3/2020,20.030001
4/6/2020,21.389999
4/7/2020,22.139999
4/8/2020,23.450001
4/9/2020,24.860001
4/13/2020,23.92
4/14/2020,23.73
4/15/2020,22.190001
4/16/2020,21.42
4/17/2020,23.280001
4/20/2020,22.5
4/21/2020,21.639999
4/22/2020,21.799999
4/23/2020,21.870001
4/24/2020,22.18
4/27/2020,23.469999
4/28/2020,23.889999
4/29/2020,24.780001
4/30/2020,24.049999
5/1/2020,23.08
5/4/2020,22.93
5/5/2020,22.66
5/6/2020,22.35
5/7/2020,22.84
5/8/2020,23.57
5/11/2020,22.58
5/12/2020,21.870001
5/13/2020,20.870001
5/14/2020,21.709999
5/15/2020,21.440001
5/18/2020,22.93
5/19/2020,22.209999
5/20/2020,22.91
5/21/2020,22.9
5/22/2020,22.66
5/26/2020,24.280001
5/27/2020,25.98
5/28/2020,24.860001
5/29/2020,24.120001
6/1/2020,24.610001
6/2/2020,24.84
6/3/2020,25.99
6/4/2020,26.780001
6/5/2020,28.110001
6/8/2020,28.540001
6/9/2020,28.219999
6/10/2020,26.6
